roll: 0.000000, rotation eulers: [0.0, 0.0, 0.0], rotation vector: (0.0, 0.0, 1.0)
roll: 0.000000, rotation eulers: [1.4628927, 0.92624784, 5.9604645E-8], rotation vector: (0.08608776, -0.994184, 0.0647068)
roll: 0.000000, rotation eulers: [1.4670869, 0.92624784, -5.9604645E-8], rotation vector: (0.08275378, -0.99462706, 0.062200844)
roll: 0.000000, rotation eulers: [1.4744141, 0.92624784, 2.9802322E-8], rotation vector: (0.07692593, -0.9953588, 0.05782044)
roll: 0.000000, rotation eulers: [1.4837191, 0.92624784, 2.9802322E-8], rotation vector: (0.0695191, -0.99621123, 0.052253127)
roll: 0.000000, rotation eulers: [1.6142557, 0.9262479, 2.9802322E-8], rotation vector: (-0.034729213, -0.9990558, -0.026103854)
roll: 0.000000, rotation eulers: [1.6736662, 0.9262479, 2.9802322E-8], rotation vector: (-0.082086265, -0.99471354, -0.061699152)
roll: 0.000000, rotation eulers: [1.7043983, 0.92804456, -2.9802322E-8], rotation vector: (-0.1066238, -0.99108857, -0.079843044)
roll: 0.000000, rotation eulers: [1.7827916, 0.92804456, -2.9802326E-8], rotation vector: (-0.16842332, -0.9776129, -0.12612033)
roll: 0.000000, rotation eulers: [1.8877046, 0.9280445, 0.0], rotation vector: (-0.24944425, -0.9502034, -0.1867913)
roll: 0.000000, rotation eulers: [1.9154706, 0.9280445, -8.940698E-8], rotation vector: (-0.27046394, -0.94118553, -0.20253134)
roll: 0.000000, rotation eulers: [1.935743, 0.92804456, 2.9802326E-8], rotation vector: (-0.28567994, -0.93414277, -0.2139256)
roll: 0.000000, rotation eulers: [1.9397317, 0.92804474, 3.278254E-7], rotation vector: (-0.28866008, -0.9327121, -0.21615791)
roll: 0.000000, rotation eulers: [1.9397317, 0.92804474, 3.278254E-7], rotation vector: (-0.28866008, -0.9327121, -0.21615791)
roll: 0.000000, rotation eulers: [1.9397317, 0.92804474, 3.278254E-7], rotation vector: (-0.28866008, -0.9327121, -0.21615791)
roll: 0.000000, rotation eulers: [1.9344662, 0.9280446, 8.940697E-8], rotation vector: (-0.28472504, -0.93459773, -0.21321058)
roll: 0.000000, rotation eulers: [1.8873726, 0.92804456, 0.0], rotation vector: (-0.24919176, -0.95030683, -0.18660223)
roll: 0.000000, rotation eulers: [1.8535354, 0.92541623, 0.0], rotation vector: (-0.2228747, -0.96029484, -0.16781127)
roll: 0.000000, rotation eulers: [1.8227195, 0.92082536, 5.9604645E-8], rotation vector: (-0.19844162, -0.968435, -0.1508472)
roll: 0.000000, rotation eulers: [1.8143578, 0.91952264, 1.7881388E-7], rotation vector: (-0.19179785, -0.9704853, -0.14619184)
roll: 0.000000, rotation eulers: [1.7643411, 0.9098694, 2.9802322E-8], rotation vector: (-0.15183666, -0.9813286, -0.11806691)
roll: 0.000000, rotation eulers: [1.7566403, 0.90885293, 0.0], rotation vector: (-0.14575121, -0.9827807, -0.113572836)
roll: 0.000000, rotation eulers: [1.7463661, 0.90738606, -2.9802322E-8], rotation vector: (-0.13762131, -0.9846271, -0.10756254)
